timestamp_ms,inference_ms,fps,detections,convert_ms,rotate_ms,letterbox_ms,infer_ms,parse_ms
1787770150055,378.9,1.65,2,10.41,45.04,0.7,320.15,2.58
1787770150825,754.2,1.66,1,9.03,40.16,1.11,701.24,2.67
1787770151227,391.7,1.66,1,8.58,32.02,1.53,346.8,2.77
1787770151975,739.1,1.67,1,6.05,29.65,1.05,697.96,4.36
1787770152401,384.5,1.67,1,10.76,38.98,0.45,330.56,3.78
1787770153165,749.9,1.67,1,13.47,33.42,0.92,699.33,2.79
1787770153593,385.4,1.67,1,11.09,33.03,4.01,334.75,2.51
1787770154343,738.7,1.68,3,12.28,32.56,0.9,690.07,2.85
1787770154759,385.7,1.67,2,10.97,38.87,0.59,332.82,2.43
1787770155499,721.4,1.68,2,10.63,38.81,1.16,668.04,2.78
1787770155846,342.7,1.69,1,10.81,28.35,0.52,299.97,3.06
1787770156659,812.0,1.69,1,9.7,25.06,0.95,773.54,2.77
1787770157132,461.2,1.68,2,9.51,34.08,0.51,413.76,3.32
1787770157943,796.4,1.69,2,6.98,52.35,1.23,732.98,2.86
1787770158358,390.0,1.69,3,15.06,38.92,0.78,332.18,3.08
1787770159091,728.1,1.7,2,14.26,34.34,1.06,675.17,3.2
1787770159520,411.0,1.7,1,8.87,32.53,0.5,365.01,4.06
1787770160337,800.3,1.7,1,8.91,36.87,1.04,746.79,6.67
1787770160772,382.6,1.7,1,8.91,25.48,0.75,344.59,2.86
1787770161601,779.8,1.7,1,12.91,31.66,0.96,731.28,2.99
1787770162054,412.3,1.69,0,13.7,44.28,0.5,351.09,2.76
1787770162842,773.6,1.68,0,10.59,38.07,1.25,720.36,3.26
1787770163262,400.8,1.68,2,16.16,37.22,0.75,342.46,4.22
1787770164065,781.3,1.68,1,6.68,47.53,0.97,723.08,3.0
1787770164490,396.1,1.68,1,12.08,36.85,0.79,343.3,3.02
1787770165285,785.9,1.67,1,9.55,38.53,0.93,734.1,2.78
1787770165664,364.3,1.68,0,12.27,34.3,0.5,314.38,2.83
1787770166523,805.8,1.66,1,16.97,34.43,0.98,750.06,3.37
1787770166911,383.0,1.66,1,11.47,30.31,0.56,337.86,2.81
1787770167746,809.8,1.66,1,10.13,41.44,1.4,753.62,3.17
1787770168179,419.8,1.66,1,9.51,33.84,0.51,373.23,2.72
1787770168983,791.6,1.65,0,12.19,40.31,1.14,734.44,3.53
1787770169425,419.4,1.65,0,13.06,40.7,0.77,362.19,2.67
1787770170241,815.3,1.64,0,6.74,21.21,1.06,783.5,2.77
1787770170710,442.7,1.64,1,15.75,36.87,0.8,386.58,2.68
1787770171559,821.0,1.63,1,16.59,31.36,1.33,768.71,2.95
1787770172005,435.7,1.63,2,9.9,36.89,0.49,385.88,2.58
1787770172907,867.3,1.62,3,20.5,52.5,1.67,788.36,4.22
1787770173327,406.3,1.62,1,21.31,36.42,0.54,345.29,2.72
1787770174196,826.7,1.6,1,14.46,42.44,1.59,765.1,3.12
1787770174685,474.9,1.59,1,14.74,38.3,0.52,418.46,2.82
1787770175542,838.6,1.59,0,6.88,32.51,0.99,794.4,3.77
1787770175995,425.7,1.59,0,12.54,42.69,0.8,363.96,5.74
1787770176785,786.2,1.59,1,6.84,21.45,1.04,753.89,2.97
1787770177196,388.6,1.59,1,16.35,28.24,0.53,340.78,2.73
1787770177934,736.7,1.59,1,6.74,25.64,1.08,699.5,3.68
1787770178358,394.2,1.59,1,10.0,34.65,0.56,346.21,2.75
1787770179151,756.1,1.59,0,9.89,42.1,1.35,698.01,4.71
1787770179539,375.2,1.6,0,12.37,33.09,0.52,326.0,3.19
1787770180409,839.1,1.6,2,18.6,51.31,1.09,764.79,3.28
1787770180836,404.2,1.6,2,13.47,35.1,0.49,352.45,2.73
1787770181654,790.8,1.59,2,18.89,51.61,1.15,715.08,4.01
1787770182049,382.9,1.6,2,9.49,33.29,0.5,335.47,4.13
1787770182892,809.9,1.59,2,16.6,40.62,1.32,746.72,4.62
1787770183318,419.0,1.59,1,12.47,30.29,0.52,372.34,3.35
1787770184111,787.0,1.59,1,8.53,23.96,1.06,750.58,2.81
1787770184518,394.5,1.59,2,12.07,26.58,0.8,352.15,2.87
1787770185312,771.1,1.6,2,10.47,26.87,1.3,728.21,4.21
1787770185695,377.8,1.6,2,10.13,34.87,0.52,329.36,2.9
1787770186586,866.9,1.59,1,12.9,47.22,1.41,802.28,3.05
1787770186946,354.1,1.6,1,10.1,33.03,0.49,307.43,3.05
1787770187776,821.7,1.6,1,9.22,44.17,1.09,764.09,3.08
1787770188190,402.7,1.6,1,15.44,24.81,0.56,359.2,2.71
1787770188982,762.7,1.6,1,9.77,41.35,1.3,707.24,3.04
1787770189387,392.3,1.61,1,11.87,32.43,0.83,344.18,2.98
1787770190262,824.3,1.6,1,15.62,43.58,1.01,761.25,2.84
1787770190710,412.6,1.6,0,16.42,27.32,0.83,362.69,5.33
1787770191526,807.9,1.61,2,10.25,27.43,1.02,766.07,3.09
1787770191920,359.0,1.61,0,10.55,29.98,0.51,314.88,3.09
1787770192717,795.2,1.62,0,6.9,39.98,1.06,744.16,3.05
1787770193175,447.5,1.62,0,10.2,40.77,0.77,393.2,2.59
1787770193961,773.9,1.63,0,13.04,44.03,1.06,712.89,2.84
1787770194424,436.4,1.63,0,17.9,53.83,0.55,361.3,2.79
1787770195262,800.5,1.62,1,12.83,28.27,1.33,755.04,3.04
1787770195702,412.1,1.62,1,12.16,30.37,0.52,366.14,2.86
1787770196571,855.8,1.61,1,9.54,31.59,1.32,810.41,2.87
1787770197025,447.0,1.61,1,13.75,25.38,0.51,403.59,3.75
1787770197846,794.3,1.6,0,10.64,37.05,1.35,742.12,3.14
1787770198349,451.5,1.59,0,15.17,28.82,0.8,403.4,3.25
1787770199176,792.4,1.6,0,6.99,29.83,1.08,751.72,2.74
1787770199590,402.6,1.6,0,10.21,27.28,0.51,361.88,2.69
1787770200485,862.8,1.59,1,9.4,35.77,1.63,811.49,4.44
1787770200918,431.1,1.59,1,9.53,35.54,0.55,382.62,2.79
1787770201899,932.3,1.58,1,17.31,32.23,1.03,878.14,3.6
1787770202373,451.3,1.57,1,12.51,43.51,0.81,391.59,2.82
1787770203276,890.3,1.57,1,12.65,42.53,1.34,830.66,3.11
1787770203700,417.6,1.56,1,11.83,29.22,0.57,373.04,2.9
1787770204601,886.9,1.56,2,20.15,30.04,1.02,832.24,3.43
1787770205036,416.6,1.55,1,9.7,32.78,0.6,370.44,3.01
1787770205898,825.5,1.55,1,8.14,45.59,1.3,767.58,2.9
1787770206368,448.2,1.54,2,15.04,44.43,0.85,385.27,2.62
1787770207235,848.9,1.54,1,11.48,34.19,1.02,794.74,7.48
